Gunde svan 
Karl-Erik Göransson
Gösta Ekman
Tony Richardsson
Pelle Svanslös
Måns Lagerlöv
Ann Al
Agust Stringberg
Ylva Strid
Berit Gustavsson
Gunnar Svennson
Bengt Silent-G
Bert Kreischer
Per Andersson
Karl Piltington
Ricky Gervais
Trevor Moore
Roger Moore
Christopher Lee
Peter Jacksson 
Per-Albin Hanson
Ebba Andersson
Maja Dahlqvist
Kaite Perry
Britney Spears
Paris Hilton
Robert Gustavsson
Babben Larsson
Shakira Ripoll
Lara Croft
Cleopatra Philopator
Julius Cesar
Donald Trump
Barack Obama
Jesus Christus
Danny Trejo
Bruce Lee
Benedict Cumberbatch
Han Solo
Luke Skywalker
Leia Organa
Boba Fett
Jango Fett
Tobias Reaper
James Bond
Dana Troy
Lana Del-Ray
Princess Zelda
Fa Mulan
Anastasia Romanov
Heliga Birgitta
Olga Heinz
Anne Frank
Hans Gretzel
Borat Mankini
Yuri Dolgoroki
Gudrun Schyman
